OX457036.1_t_gene1_mRNA1	OX457036.1_48527-57342
OX457036.1_t_gene827_mRNA1082	OX457036.1_34834277-34839871
OX457036.1_t_gene828_mRNA1083	OX457036.1_34962418-34977341
OX457036.1_t_gene829_mRNA1085	OX457036.1_35053304-35064251
OX457036.1_t_gene830_mRNA1088	OX457036.1_36147866-36155987
OX457036.1_t_gene831_mRNA1089	OX457036.1_36370631-36376326
OX457036.1_t_gene832_mRNA1090	OX457036.1_36396755-36402594
OX457036.1_t_gene833_mRNA1091	OX457036.1_36619031-36627039
OX457036.1_t_gene834_mRNA1092	OX457036.1_36836907-36843818
OX457036.1_t_gene835_mRNA1093	OX457036.1_36915383-36926205
OX457036.1_t_gene836_mRNA1099	OX457036.1_37074865-37082282
OX457036.1_t_gene837_mRNA1100	OX457036.1_37340578-37349597
OX457036.1_t_gene838_mRNA1105	OX457036.1_37649771-37655082
OX457036.1_t_gene839_mRNA1106	OX457036.1_37659527-37671127
OX457036.1_t_gene840_mRNA1113	OX457036.1_37747001-37757670
OX457036.1_t_gene841_mRNA1115	OX457036.1_38587149-38593016
OX457036.1_t_gene842_mRNA1116	OX457036.1_38597892-38604400
OX457036.1_t_gene843_mRNA1118	OX457036.1_39204601-39212053
OX457036.1_t_gene844_mRNA1119	OX457036.1_39380479-39390873
OX457036.1_t_gene845_mRNA1121	OX457036.1_40090948-40096574
OX457036.1_t_gene846_mRNA1122	OX457036.1_40163407-40170139
OX457036.1_t_gene847_mRNA1129	OX457036.1_41023478-41035185
OX457036.1_t_gene848_mRNA1137	OX457036.1_41266979-41278490
OX457036.1_t_gene849_mRNA1139	OX457036.1_42051693-42057167
OX457036.1_t_gene850_mRNA1140	OX457036.1_42058696-42064170
OX457036.1_t_gene851_mRNA1141	OX457036.1_42301631-42307618
OX457036.1_t_gene852_mRNA1144	OX457036.1_42463569-42469147
OX457036.1_t_gene853_mRNA1145	OX457036.1_42536084-42544128
OX457036.1_t_gene854_mRNA1146	OX457036.1_42836843-42844320
OX457036.1_t_gene855_mRNA1147	OX457036.1_42866834-42878338
OX457036.1_t_gene856_mRNA1149	OX457036.1_43541964-43548118
OX457036.1_t_gene857_mRNA1151	OX457036.1_43594900-43602446
OX457036.1_t_gene858_mRNA1152	OX457036.1_44252791-44261345
OX457036.1_t_gene859_mRNA1153	OX457036.1_44429947-44440248
OX457036.1_t_gene860_mRNA1155	OX457036.1_44583868-44589424
OX457036.1_t_gene861_mRNA1156	OX457036.1_44677758-44683870
OX457036.1_t_gene862_mRNA1157	OX457036.1_45205227-45212176
OX457036.1_t_gene863_mRNA1158	OX457036.1_45341895-45347242
OX457036.1_t_gene864_mRNA1159	OX457036.1_45824242-45831191
OX457036.1_t_gene865_mRNA1160	OX457036.1_45940945-45949238
OX457036.1_t_gene866_mRNA1168	OX457036.1_45984092-45989370
OX457036.1_t_gene867_mRNA1169	OX457036.1_46355246-46360813
OX457036.1_t_gene868_mRNA1170	OX457036.1_46490721-46497457
OX457036.1_t_gene869_mRNA1171	OX457036.1_46562818-46573442
OX457036.1_t_gene870_mRNA1173	OX457036.1_47025592-47031248
OX457036.1_t_gene871_mRNA1174	OX457036.1_47349129-47356348
OX457036.1_t_gene872_mRNA1176	OX457036.1_47520568-47530538
OX457036.1_t_gene873_mRNA1177	OX457036.1_47564045-47573616
OX457036.1_t_gene875_mRNA1181	OX457036.1_47938032-47947318
OX457036.1_t_gene876_mRNA1183	OX457036.1_48136226-48145701
OX457036.1_t_gene877_mRNA1186	OX457036.1_48353548-48363475
OX457036.1_t_gene878_mRNA1187	OX457036.1_48698029-48708389
OX457036.1_t_gene879_mRNA1188	OX457036.1_48728262-48733585
OX457036.1_t_gene880_mRNA1189	OX457036.1_49134518-49144380
OX457036.1_t_gene881_mRNA1190	OX457036.1_49205649-49211304
OX457036.1_t_gene882_mRNA1192	OX457036.1_49813380-49824398
OX457036.1_t_gene883_mRNA1198	OX457036.1_49964274-49975579
OX457036.1_t_gene884_mRNA1202	OX457036.1_50265159-50270797
OX457036.1_t_gene885_mRNA1203	OX457036.1_50351513-50357240
OX457036.1_t_gene886_mRNA1204	OX457036.1_50357581-50363060
OX457036.1_t_gene887_mRNA1205	OX457036.1_50463668-50469142
OX457036.1_t_gene888_mRNA1209	OX457036.1_50538779-50544348
OX457036.1_t_gene889_mRNA1210	OX457036.1_50618462-50624033
OX457036.1_t_gene890_mRNA1212	OX457036.1_50892000-50897656
OX457036.1_t_gene891_mRNA1213	OX457036.1_50912656-50924043
OX457036.1_t_gene892_mRNA1215	OX457036.1_51541520-51552165
OX457036.1_t_gene893_mRNA1217	OX457036.1_51599243-51608835
OX457036.1_t_gene894_mRNA1218	OX457036.1_51608836-51619065
OX457036.1_t_gene895_mRNA1220	OX457036.1_52146723-52152775
OX457036.1_t_gene896_mRNA1221	OX457036.1_52596003-52601659
OX457036.1_t_gene897_mRNA1222	OX457036.1_52857365-52867911
OX457036.1_t_gene898_mRNA1226	OX457036.1_52906161-52915711
OX457036.1_t_gene899_mRNA1228	OX457036.1_53396257-53402369
OX457036.1_t_gene900_mRNA1229	OX457036.1_53436433-53444578
OX457036.1_t_gene901_mRNA1230	OX457036.1_53507367-53515963
OX457036.1_t_gene902_mRNA1239	OX457036.1_53858673-53869942
OX457036.1_t_gene903_mRNA1244	OX457036.1_54280902-54286122
OX457036.1_t_gene904_mRNA1245	OX457036.1_54286123-54292515
OX457036.1_t_gene905_mRNA1246	OX457036.1_54573718-54581857
OX457036.1_t_gene906_mRNA1247	OX457036.1_54852476-54861063
OX457036.1_t_gene907_mRNA1249	OX457036.1_55000549-55010967
OX457036.1_t_gene908_mRNA1254	OX457036.1_56092921-56104053
OX457036.1_t_gene909_mRNA1259	OX457036.1_56250973-56261015
OX457036.1_t_gene910_mRNA1260	OX457036.1_56357736-56363539
OX457036.1_t_gene911_mRNA1261	OX457036.1_56696152-56702127
OX457036.1_t_gene912_mRNA1262	OX457036.1_56743606-56749445
OX457036.1_t_gene913_mRNA1263	OX457036.1_56808958-56816435
OX457036.1_t_gene914_mRNA1264	OX457036.1_57189711-57195445
OX457036.1_t_gene915_mRNA1265	OX457036.1_57695892-57703894
OX457036.1_t_gene916_mRNA1267	OX457036.1_58021453-58029808
OX457036.1_t_gene917_mRNA1268	OX457036.1_58177868-58185087
OX457036.1_t_gene918_mRNA1269	OX457036.1_58185527-58192252
OX457036.1_t_gene919_mRNA1276	OX457036.1_58283795-58288365
OX457036.1_t_gene920_mRNA1277	OX457036.1_58288366-58297068
OX457036.1_t_gene921_mRNA1279	OX457036.1_58345710-58357399
OX457036.1_t_gene922_mRNA1282	OX457036.1_58357400-58365687
OX457036.1_t_gene923_mRNA1285	OX457036.1_58444146-58451119
OX457036.1_t_gene924_mRNA1286	OX457036.1_58488779-58497171
OX457036.1_t_gene925_mRNA1287	OX457036.1_58537994-58543698
OX457036.1_t_gene926_mRNA1288	OX457036.1_58730971-58736504
OX457036.1_t_gene927_mRNA1290	OX457036.1_58909025-58914297
OX457036.1_t_gene928_mRNA1291	OX457036.1_59028236-59033897
OX457036.1_t_gene929_mRNA1292	OX457036.1_59077126-59088222
OX457036.1_t_gene930_mRNA1299	OX457036.1_59191944-59198676
OX457036.1_t_gene931_mRNA1306	OX457036.1_59942671-59948433
OX457036.1_t_gene932_mRNA1307	OX457036.1_60077463-60086194
OX457036.1_t_gene933_mRNA1310	OX457036.1_60253102-60258374
OX457036.1_t_gene934_mRNA1311	OX457036.1_60442282-60447983
OX457036.1_t_gene935_mRNA1312	OX457036.1_60500303-60508997
OX457036.1_t_gene936_mRNA1315	OX457036.1_61558870-61564349
OX457036.1_t_gene937_mRNA1316	OX457036.1_61661304-61665439
OX457036.1_t_gene938_mRNA1317	OX457036.1_61665440-61670635
OX457036.1_t_gene939_mRNA1318	OX457036.1_62198019-62209671
OX457036.1_t_gene940_mRNA1326	OX457036.1_62535919-62542031
OX457036.1_t_gene941_mRNA1328	OX457036.1_63064329-63069949
OX457036.1_t_gene942_mRNA1329	OX457036.1_63299443-63307442
OX457036.1_t_gene943_mRNA1330	OX457036.1_63505802-63513990
OX457036.1_t_gene944_mRNA1332	OX457036.1_64026316-64033444
OX457036.1_t_gene945_mRNA1333	OX457036.1_64236391-64243140
OX457036.1_t_gene946_mRNA1334	OX457036.1_64848733-64854356
OX457036.1_t_gene947_mRNA1335	OX457036.1_65001038-65004431
OX457036.1_t_gene948_mRNA1336	OX457036.1_65004432-65007874
OX457036.1_t_gene949_mRNA1337	OX457036.1_66308220-66319170
OX457036.1_t_gene950_mRNA1341	OX457036.1_66543363-66548977
OX457036.1_t_gene951_mRNA1342	OX457036.1_67162766-67171347
OX457036.1_t_gene952_mRNA1349	OX457036.1_67171348-67180799
OX457036.1_t_gene953_mRNA1351	OX457036.1_67202292-67207783
OX457036.1_t_gene954_mRNA1352	OX457036.1_67837565-67846535
OX457036.1_t_gene955_mRNA1354	OX457036.1_67846536-67856918
OX457036.1_t_gene956_mRNA1359	OX457036.1_68481449-68492060
OX457036.1_t_gene957_mRNA1363	OX457036.1_68579103-68587588
OX457036.1_t_gene958_mRNA1364	OX457036.1_68704087-68709748
OX457036.1_t_gene959_mRNA1365	OX457036.1_69441819-69447390
OX457036.1_t_gene960_mRNA1367	OX457036.1_69801588-69807715
OX457036.1_t_gene962_mRNA1369	OX457036.1_70293294-70303584
OX457036.1_t_gene963_mRNA1373	OX457036.1_70872542-70882524
OX457036.1_t_gene964_mRNA1375	OX457036.1_70935559-70942114
OX457036.1_t_gene965_mRNA1376	OX457036.1_70984509-70990321
OX457036.1_t_gene966_mRNA1377	OX457036.1_71101483-71105610
OX457036.1_t_gene967_mRNA1378	OX457036.1_71105611-71110315
OX457036.1_t_gene968_mRNA1379	OX457036.1_71150460-71156299
OX457036.1_t_gene969_mRNA1380	OX457036.1_71179815-71187076
OX457036.1_t_gene970_mRNA1387	OX457036.1_71739375-71745222
OX457036.1_t_gene971_mRNA1389	OX457036.1_71745548-71751174
OX457036.1_t_gene973_mRNA1391	OX457036.1_72087260-72095563
OX457036.1_t_gene974_mRNA1392	OX457036.1_72667373-72673029
OX457036.1_t_gene975_mRNA1393	OX457036.1_72728494-72738145
OX457036.1_t_gene976_mRNA1394	OX457036.1_72872308-72878420
OX457036.1_t_gene977_mRNA1395	OX457036.1_73163426-73174850
OX457036.1_t_gene978_mRNA1397	OX457036.1_73398906-73404181
OX457036.1_t_gene979_mRNA1398	OX457036.1_74470454-74481271
OX457036.1_t_gene980_mRNA1403	OX457036.1_74634794-74640567
OX457036.1_t_gene981_mRNA1404	OX457036.1_75120477-75125812
OX457036.1_t_gene982_mRNA1405	OX457036.1_75182801-75188292
OX457036.1_t_gene983_mRNA1407	OX457036.1_75200517-75208868
OX457036.1_t_gene984_mRNA1415	OX457036.1_75291864-75301250
OX457036.1_t_gene985_mRNA1416	OX457036.1_75421815-75430257
OX457036.1_t_gene986_mRNA1417	OX457036.1_75910677-75919207
OX457036.1_t_gene987_mRNA1418	OX457036.1_76003602-76011953
OX457036.1_t_gene988_mRNA1419	OX457036.1_76048177-76060155
OX457036.1_t_gene989_mRNA1423	OX457036.1_76086083-76093038
OX457036.1_t_gene990_mRNA1425	OX457036.1_76361550-76368476
OX457036.1_t_gene991_mRNA1426	OX457036.1_76585640-76592204
OX457036.1_t_gene992_mRNA1428	OX457036.1_76642406-76650161
OX457036.1_t_gene993_mRNA1429	OX457036.1_76671857-76682938
OX457036.1_t_gene994_mRNA1431	OX457036.1_77046037-77051600
OX457036.1_t_gene995_mRNA1432	OX457036.1_77142791-77151245
OX457036.1_t_gene996_mRNA1433	OX457036.1_77206734-77218193
OX457036.1_t_gene997_mRNA1434	OX457036.1_77631974-77643035
OX457036.1_t_gene998_mRNA1439	OX457036.1_78131601-78138494
OX457036.1_t_gene999_mRNA1440	OX457036.1_78244070-78249472
OX457036.1_t_gene1000_mRNA1441	OX457036.1_78609549-78618477
OX457036.1_t_gene1001_mRNA1448	OX457036.1_79513716-79525378
OX457036.1_t_gene1002_mRNA1452	OX457036.1_79742028-79752281
OX457036.1_t_gene1003_mRNA1454	OX457036.1_80264327-80269533
OX457036.1_t_gene1004_mRNA1455	OX457036.1_80496029-80506665
OX457036.1_t_gene1006_mRNA1462	OX457036.1_81436491-81444979
OX457036.1_t_gene1007_mRNA1463	OX457036.1_81454139-81466652
OX457036.1_t_gene1008_mRNA1464	OX457036.1_81488651-81498159
OX457036.1_t_gene1009_mRNA1468	OX457036.1_82120267-82125741
OX457036.1_t_gene1010_mRNA1470	OX457036.1_82126388-82131763
OX457036.1_t_gene1011_mRNA1471	OX457036.1_82235641-82241669
OX457036.1_t_gene1012_mRNA1473	OX457036.1_82306032-82311964
OX457036.1_t_gene1013_mRNA1474	OX457036.1_82490151-82495981
OX457036.1_t_gene1014_mRNA1475	OX457036.1_82628935-82634591
OX457036.1_t_gene1015_mRNA1476	OX457036.1_82725674-82734896
OX457036.1_t_gene1016_mRNA1483	OX457036.1_82904248-82909787
OX457036.1_t_gene1017_mRNA1484	OX457036.1_83242661-83247933
OX457036.1_t_gene1018_mRNA1485	OX457036.1_83519819-83526493
OX457036.1_t_gene1019_mRNA1487	OX457036.1_83772330-83782843
OX457036.1_t_gene1020_mRNA1494	OX457036.1_84120393-84130718
OX457036.1_t_gene1021_mRNA1495	OX457036.1_84229980-84236503
OX457036.1_t_gene1022_mRNA1498	OX457036.1_84287943-84293239
OX457036.1_t_gene1023_mRNA1499	OX457036.1_84294909-84300383
OX457036.1_t_gene1025_mRNA1501	OX457036.1_84650257-84658129
OX457036.1_t_gene1026_mRNA1502	OX457036.1_85034757-85045573
OX457036.1_t_gene1027_mRNA1508	OX457036.1_85165015-85170610
OX457036.1_t_gene1028_mRNA1509	OX457036.1_85222668-85232679
OX457036.1_t_gene1029_mRNA1511	OX457036.1_85356189-85367403
OX457036.1_t_gene1030_mRNA1516	OX457036.1_85398571-85406864
OX457036.1_t_gene1031_mRNA1520	OX457036.1_85584847-85597595
OX457036.1_t_gene1032_mRNA1524	OX457036.1_85713015-85718586
OX457036.1_t_gene1033_mRNA1526	OX457036.1_85727296-85732706
OX457036.1_t_gene1034_mRNA1527	OX457036.1_85849313-85858170
OX457036.1_t_gene1035_mRNA1528	OX457036.1_85921607-85932216
OX457036.1_t_gene1036_mRNA1530	OX457036.1_85965042-85975675
OX457036.1_t_gene1037_mRNA1535	OX457036.1_87150008-87158010
OX457036.1_t_gene1038_mRNA1536	OX457036.1_87327794-87338656
OX457036.1_t_gene1039_mRNA1542	OX457036.1_87513969-87519492
OX457036.1_t_gene1040_mRNA1543	OX457036.1_87724386-87729925
OX457036.1_t_gene1041_mRNA1544	OX457036.1_87888706-87895135
OX457036.1_t_gene1042_mRNA1545	OX457036.1_87979458-87987268
OX457036.1_t_gene1043_mRNA1546	OX457036.1_87987269-87992052
OX457036.1_t_gene1044_mRNA1547	OX457036.1_88166425-88172198
OX457036.1_t_gene1045_mRNA1548	OX457036.1_88247262-88257538
OX457036.1_t_gene1046_mRNA1549	OX457036.1_89810530-89818532
OX457036.1_t_gene1047_mRNA1550	OX457036.1_90104826-90111733
OX457036.1_t_gene1048_mRNA1552	OX457036.1_90152233-90163727
OX457036.1_t_gene1049_mRNA1553	OX457036.1_90755858-90763020
OX457036.1_t_gene1050_mRNA1554	OX457036.1_90822655-90830402
OX457036.1_t_gene1051_mRNA1555	OX457036.1_90934236-90942211
OX457036.1_t_gene1052_mRNA1556	OX457036.1_91314954-91323888
OX457036.1_t_gene1053_mRNA1560	OX457036.1_91372920-91384686
OX457036.1_t_gene1054_mRNA1562	OX457036.1_91655514-91662832
OX457036.1_t_gene1055_mRNA1564	OX457036.1_91860261-91871725
OX457036.1_t_gene1056_mRNA1570	OX457036.1_91882165-91893059
OX457036.1_t_gene1057_mRNA1572	OX457036.1_91909843-91920414
OX457036.1_t_gene1058_mRNA1577	OX457036.1_92067632-92073579
OX457036.1_t_gene1059_mRNA1578	OX457036.1_92233178-92237937
OX457036.1_t_gene1060_mRNA1579	OX457036.1_92237938-92242989
OX457036.1_t_gene1061_mRNA1580	OX457036.1_92490390-92496922
OX457036.1_t_gene1062_mRNA1586	OX457036.1_92585350-92591472
OX457036.1_t_gene1063_mRNA1587	OX457036.1_93257934-93267873
OX457036.1_t_gene1064_mRNA1588	OX457036.1_93332337-93337732
OX457036.1_t_gene1065_mRNA1589	OX457036.1_93342193-93349643
OX457036.1_t_gene1066_mRNA1590	OX457036.1_93459260-93467259
OX457036.1_t_gene1067_mRNA1591	OX457036.1_93555574-93561048
OX457036.1_t_gene1068_mRNA1592	OX457036.1_93562631-93568105
OX457036.1_t_gene1069_mRNA1593	OX457036.1_93812944-93818666
OX457036.1_t_gene1070_mRNA1594	OX457036.1_93822503-93833666
OX457036.1_t_gene1071_mRNA1603	OX457036.1_94402608-94414109
OX457036.1_t_gene1072_mRNA1604	OX457036.1_94439065-94445382
OX457036.1_t_gene1073_mRNA1605	OX457036.1_94854704-94866042
OX457036.1_t_gene1074_mRNA1606	OX457036.1_94894260-94905238
OX457036.1_t_gene1075_mRNA1608	OX457036.1_95331419-95336766
OX457036.1_t_gene1076_mRNA1609	OX457036.1_95487615-95494158
OX457036.1_t_gene1077_mRNA1610	OX457036.1_95494159-95498728
OX457036.1_t_gene1078_mRNA1612	OX457036.1_95621135-95626917
OX457036.1_t_gene1079_mRNA1613	OX457036.1_95824705-95836012
OX457036.1_t_gene1080_mRNA1617	OX457036.1_96250017-96255787
OX457036.1_t_gene1081_mRNA1618	OX457036.1_96321916-96327536
OX457036.1_t_gene1082_mRNA1619	OX457036.1_96591568-96596897
OX457036.1_t_gene1083_mRNA1620	OX457036.1_96899275-96908379
OX457036.1_t_gene1084_mRNA1621	OX457036.1_97410969-97419686
OX457036.1_t_gene1085_mRNA1622	OX457036.1_97651957-97659545
OX457036.1_t_gene1086_mRNA1624	OX457036.1_97766921-97774458
OX457036.1_t_gene1087_mRNA1633	OX457036.1_98121018-98126638
OX457036.1_t_gene1088_mRNA1634	OX457036.1_98282151-98292046
OX457036.1_t_gene1089_mRNA1635	OX457036.1_98306895-98313850
OX457036.1_t_gene1090_mRNA1636	OX457036.1_98351979-98357550
OX457036.1_t_gene1091_mRNA1638	OX457036.1_98360953-98366685
OX457036.1_t_gene1092_mRNA1639	OX457036.1_98367223-98372702
OX457036.1_t_gene1093_mRNA1640	OX457036.1_98424851-98432363
OX457036.1_t_gene1094_mRNA1641	OX457036.1_98605663-98613857
OX457036.1_t_gene1095_mRNA1643	OX457036.1_98630066-98636004
OX457036.1_t_gene1096_mRNA1645	OX457036.1_98827119-98831127
OX457036.1_t_gene1097_mRNA1646	OX457036.1_98831128-98840494
